year,month,propertyState,num_policies_bought,num_policies_term,num_policies_net
2009,1,AK,102,2,100
2009,1,AL,1886,23,1863
2009,1,AR,539,13,526
2009,1,AZ,1065,15,1050
2009,1,CA,19296,178,19118
2009,1,CO,858,10,848
2009,1,CT,1663,50,1613
2009,1,DC,49,1,48
2009,1,DE,1434,12,1422
2009,1,FL,113178,1498,111680
2009,1,GA,3631,54,3577
2009,1,GU,6,0,6
2009,1,HI,3849,102,3747
2009,1,IA,403,4,399
2009,1,ID,251,2,249
2009,1,IL,1716,18,1698
2009,1,IN,787,13,774
2009,1,KS,320,5,315
2009,1,KY,848,9,839
2009,1,LA,20856,358,20498
2009,1,MA,1877,17,1860
2009,1,MD,3125,125,3000
2009,1,ME,361,3,358
2009,1,MI,670,23,647
2009,1,MN,304,5,299
2009,1,MO,749,19,730
2009,1,MS,3536,36,3500
2009,1,MT,128,1,127
2009,1,NC,6415,64,6351
2009,1,ND,133,1,132
2009,1,NE,295,4,291
2009,1,NH,298,4,294
2009,1,NJ,9278,146,9132
2009,1,NM,333,7,326
2009,1,NV,647,6,641
2009,1,NY,8436,144,8292
2009,1,OH,1282,23,1259
2009,1,OK,432,7,425
2009,1,OR,1895,24,1871
2009,1,PA,3137,27,3110
2009,1,PR,996,0,996
2009,1,RI,682,9,673
2009,1,SC,8690,184,8506
2009,1,SD,145,0,145
2009,1,TN,952,14,938
2009,1,TX,25423,291,25132
2009,1,UT,184,11,173
2009,1,VA,4027,66,3961
2009,1,VI,56,0,56
2009,1,VT,126,2,124
2009,1,WA,2590,51,2539
2009,1,WI,408,8,400
2009,1,WV,701,2,699
2009,1,WY,72,0,72
2009,2,AK,84,2,82
2009,2,AL,3076,148,2928
2009,2,AR,606,21,585
2009,2,AZ,1113,28,1085
2009,2,CA,15750,298,15452
2009,2,CO,625,26,599
2009,2,CT,1174,40,1134
2009,2,DC,56,2,54
2009,2,DE,906,38,868
2009,2,FL,102381,4192,98189
2009,2,GA,3909,171,3738
2009,2,GU,3,0,3
2009,2,HI,4982,356,4626
2009,2,IA,641,27,614
2009,2,ID,449,11,438
2009,2,IL,1994,58,1936
2009,2,IN,1011,30,981
2009,2,KS,365,10,355
2009,2,KY,852,22,830
2009,2,LA,24287,792,23495
2009,2,MA,1753,37,1716
2009,2,MD,2420,53,2367
2009,2,ME,393,14,379
2009,2,MI,864,29,835
2009,2,MN,493,12,481
2009,2,MO,819,24,795
2009,2,MS,4166,90,4076
2009,2,MT,204,2,202
2009,2,NC,6220,235,5985
2009,2,ND,798,12,786
2009,2,NE,297,17,280
2009,2,NH,320,5,315
2009,2,NJ,8429,340,8089
2009,2,NM,411,11,400
2009,2,NV,899,17,882
2009,2,NY,5999,165,5834
2009,2,OH,1586,45,1541
2009,2,OK,495,17,478
2009,2,OR,1711,54,1657
2009,2,PA,4456,109,4347
2009,2,PR,538,1,537
2009,2,RI,707,18,689
2009,2,SC,8098,221,7877
2009,2,SD,160,4,156
2009,2,TN,1132,33,1099
2009,2,TX,26291,659,25632
2009,2,UN,1,0,1
2009,2,UT,344,10,334
2009,2,VA,4149,183,3966
2009,2,VI,83,0,83
2009,2,VT,133,4,129
2009,2,WA,2364,82,2282
2009,2,WI,459,10,449
2009,2,WV,1021,30,991
2009,2,WY,89,2,87
2009,3,AK,111,6,105
2009,3,AL,2730,347,2383
2009,3,AR,636,36,600
2009,3,AZ,1213,99,1114
2009,3,CA,11955,568,11387
2009,3,CO,1035,39,996
2009,3,CT,1387,67,1320
2009,3,DC,60,4,56
2009,3,DE,1180,91,1089
2009,3,FL,129554,8938,120616
2009,3,GA,4701,285,4416
2009,3,GU,7,1,6
2009,3,HI,2688,642,2046
2009,3,IA,911,49,862
2009,3,ID,677,17,660
2009,3,IL,2330,117,2213
2009,3,IN,1262,65,1197
2009,3,KS,544,39,505
2009,3,KY,973,46,927
2009,3,LA,31330,1467,29863
2009,3,MA,2295,243,2052
2009,3,MD,3342,131,3211
2009,3,ME,502,16,486
2009,3,MI,913,41,872
2009,3,MN,1430,35,1395
2009,3,MO,1097,50,1047
2009,3,MS,5564,129,5435
2009,3,MT,250,7,243
2009,3,NC,7924,359,7565
2009,3,ND,3952,44,3908
2009,3,NE,378,23,355
2009,3,NH,418,12,406
2009,3,NJ,9505,665,8840
2009,3,NM,554,36,518
2009,3,NV,946,46,900
2009,3,NY,7079,448,6631
2009,3,OH,1735,69,1666
2009,3,OK,676,30,646
2009,3,OR,1573,93,1480
2009,3,PA,4254,130,4124
2009,3,PR,925,6,919
2009,3,RI,695,186,509
2009,3,SC,11562,594,10968
2009,3,SD,268,12,256
2009,3,TN,2251,61,2190
2009,3,TX,32576,1164,31412
2009,3,UT,363,28,335
2009,3,VA,5700,306,5394
2009,3,VI,448,1,447
2009,3,VT,202,12,190
2009,3,WA,2550,147,2403
2009,3,WI,800,79,721
2009,3,WV,1067,37,1030
2009,3,WY,127,1,126
2009,4,AK,144,9,135
2009,4,AL,3718,145,3573
2009,4,AR,750,46,704
2009,4,AZ,1182,86,1096
2009,4,CA,10523,516,10007
2009,4,CO,1259,44,1215
2009,4,CT,1498,104,1394
2009,4,DC,47,3,44
2009,4,DE,1202,97,1105
2009,4,FL,156089,9277,146812
2009,4,GA,5193,348,4845
2009,4,GU,8,0,8
2009,4,HI,3991,360,3631
2009,4,IA,914,61,853
2009,4,ID,451,25,426
2009,4,IL,2608,122,2486
2009,4,IN,1239,86,1153
2009,4,KS,727,32,695
2009,4,KY,999,91,908
2009,4,LA,38298,1899,36399
2009,4,MA,2104,88,2016
2009,4,MD,3289,431,2858
2009,4,ME,707,22,685
2009,4,MI,782,53,729
2009,4,MN,1785,50,1735
2009,4,MO,1425,70,1355
2009,4,MS,6608,243,6365
2009,4,MT,261,10,251
2009,4,NC,8491,467,8024
2009,4,ND,5003,113,4890
2009,4,NE,375,28,347
2009,4,NH,492,21,471
2009,4,NJ,10174,747,9427
2009,4,NM,465,36,429
2009,4,NV,614,33,581
2009,4,NY,7677,348,7329
2009,4,OH,1731,103,1628
2009,4,OK,825,45,780
2009,4,OR,1280,88,1192
2009,4,PA,3578,197,3381
2009,4,PR,2156,24,2132
2009,4,RI,683,90,593
2009,4,SC,12343,628,11715
2009,4,SD,251,13,238
2009,4,TN,1435,82,1353
2009,4,TX,40391,1708,38683
2009,4,UN,1,0,1
2009,4,UT,397,94,303
2009,4,VA,5528,379,5149
2009,4,VI,104,60,44
2009,4,VT,161,6,155
2009,4,WA,2035,153,1882
2009,4,WI,1091,43,1048
2009,4,WV,1028,47,981
2009,4,WY,225,9,216
2009,5,AK,138,8,130
2009,5,AL,3919,401,3518
2009,5,AR,747,41,706
2009,5,AZ,1086,107,979
2009,5,CA,9976,644,9332
2009,5,CO,1314,79,1235
2009,5,CT,1504,86,1418
2009,5,DC,52,4,48
2009,5,DE,1375,123,1252
2009,5,FL,159964,11482,148482
2009,5,GA,5999,472,5527
2009,5,GU,6,0,6
2009,5,HI,4863,1290,3573
2009,5,IA,709,49,660
2009,5,ID,528,31,497
2009,5,IL,2224,177,2047
2009,5,IN,1050,93,957
2009,5,KS,712,61,651
2009,5,KY,1007,75,932
2009,5,LA,42585,2389,40196
2009,5,MA,2090,286,1804
2009,5,MD,3210,235,2975
2009,5,ME,448,23,425
2009,5,MI,717,58,659
2009,5,MN,488,40,448
2009,5,MO,1208,101,1107
2009,5,MS,7414,288,7126
2009,5,MT,313,17,296
2009,5,NC,9530,752,8778
2009,5,ND,315,80,235
2009,5,NE,351,37,314
2009,5,NH,369,40,329
2009,5,NJ,11249,1115,10134
2009,5,NM,476,32,444
2009,5,NV,599,36,563
2009,5,NY,8389,459,7930
2009,5,OH,1483,97,1386
2009,5,OK,823,34,789
2009,5,OR,1498,115,1383
2009,5,PA,3473,186,3287
2009,5,PR,1291,12,1279
2009,5,RI,619,42,577
2009,5,SC,13650,844,12806
2009,5,SD,264,13,251
2009,5,TN,1254,110,1144
2009,5,TX,53484,2255,51229
2009,5,UN,4,0,4
2009,5,UT,395,20,375
2009,5,VA,6569,537,6032
2009,5,VI,48,4,44
2009,5,VT,133,15,118
