,countyCode,County,State,county_state,total_coverage,total_claims,mean_total_coverage,mean_total_claims
0,01001,Autauga,AL,"Autauga County, AL",9449900.0,1343981.15,122725.97402597402,17454.30064935065
1,01003,Baldwin,AL,"Baldwin County, AL",10007685200.0,697512528.9,476987.9986654592,33243.3766514155
2,01005,Barbour,AL,"Barbour County, AL",4832200.0,711648.5299999999,134227.77777777778,19768.01472222222
3,01007,Bibb,AL,"Bibb County, AL",756500.0,32899.509999999995,68772.72727272728,2990.864545454545
4,01009,Blount,AL,"Blount County, AL",5627500.0,814529.6,200982.14285714287,29090.342857142856
5,01011,Bullock,AL,"Bullock County, AL",425100.0,62114.64,106275.0,15528.66
6,01013,Butler,AL,"Butler County, AL",330000.0,9900.0,110000.0,3300.0
7,01015,Calhoun,AL,"Calhoun County, AL",9494600.0,618526.75,75956.8,4948.214
8,01017,Chambers,AL,"Chambers County, AL",5678300.0,918814.61,246882.60869565216,39948.46130434783
9,01019,Cherokee,AL,"Cherokee County, AL",10911200.0,265543.86,419661.5384615384,10213.225384615384
10,01021,Chilton,AL,"Chilton County, AL",801900.0,42225.27,89100.0,4691.696666666667
11,01023,Choctaw,AL,"Choctaw County, AL",2723800.0,524009.5500000001,54476.0,10480.191
12,01025,Clarke,AL,"Clarke County, AL",3641400.0,894585.01,117464.51612903226,28857.58096774193
13,01027,Clay,AL,"Clay County, AL",78000.0,0.0,78000.0,0.0
14,01031,Coffee,AL,"Coffee County, AL",59253100.0,17906659.83,100428.98305084746,30350.270898305083
15,01033,Colbert,AL,"Colbert County, AL",12009100.0,1807184.3,87022.46376811594,13095.538405797102
16,01035,Conecuh,AL,"Conecuh County, AL",99500.0,62489.5,33166.666666666664,20829.83333333333
17,01037,Coosa,AL,"Coosa County, AL",2048100.0,186063.61,186190.9090909091,16914.873636363634
18,01039,Covington,AL,"Covington County, AL",3197300.0,407568.45,81982.05128205128,10450.473076923075
19,01041,Crenshaw,AL,"Crenshaw County, AL",72100.0,0.0,36050.0,0.0
20,01043,Cullman,AL,"Cullman County, AL",7148200.0,718516.28,170195.2380952381,17107.530476190477
21,01045,Dale,AL,"Dale County, AL",14191300.0,3665813.98,97200.68493150684,25108.314931506848
22,01047,Dallas,AL,"Dallas County, AL",11031300.0,1903423.18,57156.99481865285,9862.296269430051
