,countyCode,County,State,county_state,total_coverage
0,01001,Autauga,AL,"Autauga County, AL","$9,449,900"
1,01003,Baldwin,AL,"Baldwin County, AL","$10,007,685,200"
2,01005,Barbour,AL,"Barbour County, AL","$4,832,200"
3,01007,Bibb,AL,"Bibb County, AL","$756,500"
4,01009,Blount,AL,"Blount County, AL","$5,627,500"
5,01011,Bullock,AL,"Bullock County, AL","$425,100"
6,01013,Butler,AL,"Butler County, AL","$330,000"
7,01015,Calhoun,AL,"Calhoun County, AL","$9,494,600"
8,01017,Chambers,AL,"Chambers County, AL","$5,678,300"
9,01019,Cherokee,AL,"Cherokee County, AL","$10,911,200"
10,01021,Chilton,AL,"Chilton County, AL","$801,900"
11,01023,Choctaw,AL,"Choctaw County, AL","$2,723,800"
12,01025,Clarke,AL,"Clarke County, AL","$3,641,400"
13,01027,Clay,AL,"Clay County, AL","$78,000"
14,01031,Coffee,AL,"Coffee County, AL","$59,253,100"
15,01033,Colbert,AL,"Colbert County, AL","$12,009,100"
16,01035,Conecuh,AL,"Conecuh County, AL","$99,500"
17,01037,Coosa,AL,"Coosa County, AL","$2,048,100"
18,01039,Covington,AL,"Covington County, AL","$3,197,300"
19,01041,Crenshaw,AL,"Crenshaw County, AL","$72,100"
20,01043,Cullman,AL,"Cullman County, AL","$7,148,200"
21,01045,Dale,AL,"Dale County, AL","$14,191,300"
22,01047,Dallas,AL,"Dallas County, AL","$11,031,300"
23,01049,DeKalb,AL,"DeKalb County, AL","$5,375,200"
24,01051,Elmore,AL,"Elmore County, AL","$9,599,300"
25,01053,Escambia,AL,"Escambia County, AL","$57,779,000"
26,01055,Etowah,AL,"Etowah County, AL","$11,580,800"
27,01059,Franklin,AL,"Franklin County, AL","$480,800"
28,01061,Geneva,AL,"Geneva County, AL","$12,917,300"
29,01063,Greene,AL,"Greene County, AL","$11,333,000"
30,01065,Hale,AL,"Hale County, AL","$7,710,000"
31,01067,Henry,AL,"Henry County, AL","$1,614,200"
32,01069,Houston,AL,"Houston County, AL","$26,783,400"
33,01071,Jackson,AL,"Jackson County, AL","$7,329,400"
34,01073,Jefferson,AL,"Jefferson County, AL","$376,628,100"
35,01075,Lamar,AL,"Lamar County, AL","$513,900"
36,01077,Lauderdale,AL,"Lauderdale County, AL","$15,423,000"
37,01079,Lawrence,AL,"Lawrence County, AL","$3,566,400"
38,01081,Lee,AL,"Lee County, AL","$8,917,500"
39,01083,Limestone,AL,"Limestone County, AL","$9,918,900"
40,01085,Lowndes,AL,"Lowndes County, AL","$687,600"
41,01087,Macon,AL,"Macon County, AL","$910,000"
42,01089,Madison,AL,"Madison County, AL","$117,155,500"
43,01091,Marengo,AL,"Marengo County, AL","$2,168,700"
44,01093,Marion,AL,"Marion County, AL","$947,200"
45,01095,Marshall,AL,"Marshall County, AL","$8,799,600"
46,01097,Mobile,AL,"Mobile County, AL","$2,018,885,000"
47,01099,Monroe,AL,"Monroe County, AL","$1,157,600"
48,01101,Montgomery,AL,"Montgomery County, AL","$57,541,500"
49,01103,Morgan,AL,"Morgan County, AL","$34,075,800"
50,01105,Perry,AL,"Perry County, AL","$62,500"
51,01107,Pickens,AL,"Pickens County, AL","$11,575,400"
52,01111,Randolph,AL,"Randolph County, AL","$70,000"
53,01113,Russell,AL,"Russell County, AL","$8,126,900"
54,01115,St. Clair,AL,"St. Clair County, AL","$18,136,200"
55,01117,Shelby,AL,"Shelby County, AL","$120,870,000"
56,01119,Sumter,AL,"Sumter County, AL","$718,700"
57,01121,Talladega,AL,"Talladega County, AL","$15,904,500"
58,01123,Tallapoosa,AL,"Tallapoosa County, AL","$1,440,000"
59,01125,Tuscaloosa,AL,"Tuscaloosa County, AL","$42,418,900"
60,01127,Walker,AL,"Walker County, AL","$11,005,300"
61,01129,Washington,AL,"Washington County, AL","$967,900"
62,01131,Wilcox,AL,"Wilcox County, AL","$1,500,500"
63,01133,Winston,AL,"Winston County, AL","$6,805,600"
64,02016,Aleutians West Census Area,AK,"Aleutians West Census Area, AK","$45,400"
65,02020,Anchorage Municipality,AK,"Anchorage Municipality, AK","$12,437,500"
66,02050,Bethel Census Area,AK,"Bethel Census Area, AK","$3,722,600"
67,02090,Fairbanks North Star Borough,AK,"Fairbanks North Star Borough, AK","$32,241,600"
68,02110,Juneau City and Borough,AK,"Juneau City and Borough, AK","$10,267,900"
69,02122,Kenai Peninsula Borough,AK,"Kenai Peninsula Borough, AK","$14,338,900"
70,02130,Ketchikan Gateway Borough,AK,"Ketchikan Gateway Borough, AK","$2,133,200"
71,02170,Matanuska-Susitna Borough,AK,"Matanuska-Susitna Borough, AK","$11,582,100"
72,02180,Nome Census Area,AK,"Nome Census Area, AK","$4,457,300"
73,02185,North Slope Borough,AK,"North Slope Borough, AK","$133,100"
74,02188,Northwest Arctic Borough,AK,"Northwest Arctic Borough, AK","$559,400"
75,02195,Petersburg Borough,AK,"Petersburg Borough, AK","$330,800"
76,02220,Sitka City and Borough,AK,"Sitka City and Borough, AK","$697,000"
77,02290,Yukon-Koyukuk Census Area,AK,"Yukon-Koyukuk Census Area, AK","$10,493,600"
78,04001,Apache,AZ,"Apache County, AZ","$1,052,700"
79,04003,Cochise,AZ,"Cochise County, AZ","$13,103,000"
80,04005,Coconino,AZ,"Coconino County, AZ","$59,440,500"
81,04007,Gila,AZ,"Gila County, AZ","$14,380,500"
82,04009,Graham,AZ,"Graham County, AZ","$3,667,100"
83,04011,Greenlee,AZ,"Greenlee County, AZ","$4,620,400"
84,04012,La Paz,AZ,"La Paz County, AZ","$11,638,200"
85,04013,Maricopa,AZ,"Maricopa County, AZ","$313,051,500"
86,04015,Mohave,AZ,"Mohave County, AZ","$15,262,400"
87,04017,Navajo,AZ,"Navajo County, AZ","$11,629,400"
88,04019,Pima,AZ,"Pima County, AZ","$90,264,300"
89,04021,Pinal,AZ,"Pinal County, AZ","$22,438,800"
90,04023,Santa Cruz,AZ,"Santa Cruz County, AZ","$19,551,700"
91,04025,Yavapai,AZ,"Yavapai County, AZ","$65,387,500"
92,04027,Yuma,AZ,"Yuma County, AZ","$10,464,900"
93,05001,Arkansas,AR,"Arkansas County, AR","$5,656,500"
94,05003,Ashley,AR,"Ashley County, AR","$3,136,500"
95,05005,Baxter,AR,"Baxter County, AR","$15,662,500"
96,05007,Benton,AR,"Benton County, AR","$60,533,100"
97,05009,Boone,AR,"Boone County, AR","$5,118,200"
98,05011,Bradley,AR,"Bradley County, AR","$4,814,600"
99,05013,Calhoun,AR,"Calhoun County, AR","$1,721,000"
100,05015,Carroll,AR,"Carroll County, AR","$320,000"
