,countyCode,County,State,county_state,Median_Value_of_Owner_Occupied_Units,vol_ins_rate
0,01001,Autauga,AL,"Autauga County, AL",154500,88.8
1,01003,Baldwin,AL,"Baldwin County, AL",197900,64.2
2,01005,Barbour,AL,"Barbour County, AL",90700,88.3
3,01007,Bibb,AL,"Bibb County, AL",92800,74.7
4,01009,Blount,AL,"Blount County, AL",127800,68.8
5,01011,Bullock,AL,"Bullock County, AL",70300,128.6
6,01013,Butler,AL,"Butler County, AL",95900,166.8
7,01015,Calhoun,AL,"Calhoun County, AL",118000,51.9
8,01017,Chambers,AL,"Chambers County, AL",97100,109.3
9,01019,Cherokee,AL,"Cherokee County, AL",123400,103.0
10,01021,Chilton,AL,"Chilton County, AL",107300,44.7
11,01023,Choctaw,AL,"Choctaw County, AL",74100,75.8
12,01025,Clarke,AL,"Clarke County, AL",112500,69.9
13,01027,Clay,AL,"Clay County, AL",107800,9.0
14,01029,Cleburne,AL,"Cleburne County, AL",116500,66.9
15,01031,Coffee,AL,"Coffee County, AL",147400,53.7
16,01033,Colbert,AL,"Colbert County, AL",120800,71.4
17,01035,Conecuh,AL,"Conecuh County, AL",81000,102.7
18,01037,Coosa,AL,"Coosa County, AL",84000,87.7
19,01039,Covington,AL,"Covington County, AL",97600,87.4
20,01041,Crenshaw,AL,"Crenshaw County, AL",81000,97.6
21,01043,Cullman,AL,"Cullman County, AL",128600,100.2
22,01045,Dale,AL,"Dale County, AL",112000,67.4
23,01047,Dallas,AL,"Dallas County, AL",83300,67.5
24,01049,DeKalb,AL,"DeKalb County, AL",106100,81.8
25,01051,Elmore,AL,"Elmore County, AL",166600,78.6
26,01053,Escambia,AL,"Escambia County, AL",99400,81.9
27,01055,Etowah,AL,"Etowah County, AL",113700,93.3
28,01057,Fayette,AL,"Fayette County, AL",88500,82.6
29,01059,Franklin,AL,"Franklin County, AL",95000,83.9
30,01061,Geneva,AL,"Geneva County, AL",100900,76.7
31,01063,Greene,AL,"Greene County, AL",80400,93.5
32,01065,Hale,AL,"Hale County, AL",89300,67.5
33,01067,Henry,AL,"Henry County, AL",118800,66.5
34,01069,Houston,AL,"Houston County, AL",137600,73.0
35,01071,Jackson,AL,"Jackson County, AL",104900,93.1
36,01073,Jefferson,AL,"Jefferson County, AL",159100,65.3
37,01075,Lamar,AL,"Lamar County, AL",80900,122.5
38,01077,Lauderdale,AL,"Lauderdale County, AL",145000,75.1
39,01079,Lawrence,AL,"Lawrence County, AL",110500,64.2
40,01081,Lee,AL,"Lee County, AL",169300,68.8
